message,tags,created_time,comment_attachment_type,comment_likes
Thank you Donald Trump for the best 4 years May God Bless You and your family You will always be the amazing president the USA had we were proud we were thankful we were true Americans with you all the way,,2021-01-06T20:19:24+0000,,2309.0
Why didn't they get this upset when protesters actually pounded on the doors during the Kavanaugh hearing.,,2021-01-06T20:17:06+0000,,2666.0
I cannot believe I am hearing the media.... this is not our America. Why the hell weren’t they saying these things when the riots and burning of cities were going on?  We had the dems calling for defund the police and now they want the police to protect them?!  I have seen no violence going on. Only patriots walking around with their US flags peacefully. ,,2021-01-06T20:25:32+0000,,2432.0
They forget they work for us not other countries,,2021-01-06T20:18:46+0000,,2404.0
You ever post something online just a little too late?,,2021-01-06T20:15:07+0000,,1777.0
"Don't buy into it Americans true Trump supporters aren't doing the ""storming "" it's Antifia posing as Trump supporters trying to make us look bad!!!",,2021-01-06T20:20:17+0000,,2043.0
This is your fault because you gave them false hope.,,2021-01-06T20:14:56+0000,,1670.0
"I just spent 4 years watching the left tear this country apart. All while looting, rioting, wanting to defunding the police, trying to unseat a duly elected President, etc..... until they get their way like children. I have no interest in nor intention to come together with Marxism, liars, cheats, child murderers & pedophiles!",,2021-01-06T20:15:28+0000,,4413.0
People were peaceful when they were stopped from the voting process. They were peaceful waiting for a true resolution through the courts.  I think a good chunk of We The People are tired of being peaceful and letting America go completely to corruption.  I honestly can't blame any of them.,,2021-01-06T20:19:15+0000,,2107.0
Democrats created this situation,,2021-01-06T20:15:08+0000,,1929.0
Are you having problems with your access to Candy Crush?,,2021-01-08T09:55:57+0000,,908.0
We the people want our constitution upheld and our democracy saved. We want an honest recount of the ballots.,,2021-01-06T20:54:43+0000,,1789.0
Atleast no one is burning the American flag.  These people in government have trampled on our Constitution and stole our freedom of speech,,2021-01-06T20:17:35+0000,,2261.0
"We are tired of not being heard!!! Tired of the corruption and lies, we want to take our country back our rights back we don’t have to be governed if there isn’t an honest government ",,2021-01-06T20:36:47+0000,,1773.0
"It's time for the American people to let the swamp know that they have had enough.  The way that our president has been treated is horrible, and the election was totally corrupt.  Enough is enough",,2021-01-06T20:43:54+0000,,1535.0
I believe all this could've been prevented if they would've had signature audit in all the battleground states to show everyone the truth No matter what side you're on!,,2021-01-06T20:22:34+0000,,2272.0
"So you're telling me on a day when all top politicians are in one building, when there were already threats on said building from Iran, and the National Guard was already in DC, it was that easy for regular people to storm into it? This seems like it was allowed to happen. That was waaaaaaay too easy. If not then our national security is an absolute joke.   ✌Trippy, colorful, '60s-flavored indie/psychedelic rock for TRUTH and FREEDOM: https://open.spotify.com/artist/1m0sDZRJzrmp5sqEIt01Jc",,2021-01-07T17:45:17+0000,native_templates,2007.0
"We must not lose sight of the One Who really matters for eternity. God is always in control. He sees and knows all. Justice will come. Remain vigilant.   “Dear friends, never take revenge. Leave that to the righteous anger of God. For the Scriptures say, “I will take revenge; I will pay them back,” says the LORD. “ Romans 12:19  Pray for those doing GOOD things.",,2021-01-06T20:15:30+0000,,1493.0
People are sick and tired of this they had over a month to do a thorough investigation through the courts and everyone turn their back on the Republican party,,2021-01-06T20:18:57+0000,,1725.0
We tried the ballot box.  We tried the jury box.  What's left?,,2021-01-06T20:15:23+0000,,1842.0
Too late... you already caused enough chaos. I am ashamed to have you as our president.,,2021-01-06T20:15:17+0000,,1653.0
Maybe everyone is tired of being the nice guy and being  shxx on. See what its gotten us. Our government is a sham and now we're going into socialism and poverty. Our election process failed us and now the American people must suffer through the best we can. Never to trust the system again! God Bless America!,,2021-01-06T20:21:27+0000,,1531.0
"Praying for your safety,  Mr. President and praying that truth will prevail!",,2021-01-06T21:48:22+0000,,1287.0
NO!!! THEY STOLE THE ELECTION OUR VOICES AND OUR FREEDOMS.THIS IS NOT ANOUT TRUMP!!!! THIS IS OUR LAST STAND BEFORE WE ARE SOLD TO CHINA YOU FORGET WE KNOW WHAT BIDEN HAS DONE,,2021-01-06T20:30:36+0000,,1797.0
"""WE are the Party of Law & Order"" Never was, this is terrorism ",,2021-01-06T20:16:07+0000,,1635.0
"Mr President, the time for reasonable discussion has passed.  The people will do what they must.",,2021-01-06T20:15:24+0000,,1670.0
"This is very necessary.... when they government no longer listens to its ppl, when fraud is committed and nothing is done, this happens. It happened and resulted in the founding of this country",,2021-01-06T20:15:32+0000,,1611.0
Nobody was concerned about all the rioting and looting being done by the Democrats!,,2021-01-06T20:54:21+0000,,1527.0
Everybody is crying over this but where the hell were these same people when it was antifa and blm burning cities and murdering peiple??? Law abiding citizens have had enough! We The People are pissed!,,2021-01-06T20:20:19+0000,,2480.0
"This was going to happen sooner or later, the true Americans are finally fed up, they were pushed to this, I wish it didn’t happen but now it is our turn",,2021-01-06T20:21:09+0000,,1362.0
What you are seeing is the hard working class sick and tired of the bullshit that is going on in the Capital!,,2021-01-06T20:46:07+0000,,1386.0
I want to congratulate everybody in Washington DC for standing up for their country,,2021-01-06T20:19:24+0000,,1354.0
You created this and are 100% responsible! ,,2021-01-06T20:15:49+0000,,1145.0
It’s not your fault Mr. President. The government is so corrupt and the people are fed up. These newscasters demanding things be brought under control where were they for the last four years when all the rest of us were getting stomped on?,,2021-01-06T20:20:22+0000,,1115.0
"The media is blowing this up as a riot.... no looting, fires, buildings destroyed... Peaceful protest!!!  ",,2021-01-06T20:20:03+0000,,1207.0
"Just when I thought we couldn't look any worse in the world's eyes, the Trump supporters said 'Hold my beer'",,2021-01-06T20:29:25+0000,,1389.0
Notice how once they got in the building they didn’t topple statues and set everything on fire? Actually moved the walkway barriers wider instead of knocking them over. 😂 ,,2021-01-06T20:20:49+0000,,1372.0
I guarantee not all those people are Trump supporters some are placed in there to make President Trump look bad!,,2021-01-06T20:28:25+0000,,1116.0
"I’m sure if there is any violence going on, you can bet they were paid by the democrats to do so. ",,2021-01-06T20:22:43+0000,,1098.0
"Everyone is tired Mr. President. Tired of being lied to.  Tired of being taken advantage of. Tired of our voice not being heard. Tired of big government. Tired of losing our paychecks.  Tired of crooked education system Tired of being tired. This may be the last stand any patriot has to take back  Their voice, Their freedom, Their little paycheck, Their children’s future ect. ect. ect.",,2021-01-06T20:28:58+0000,,1433.0
They are being peaceful. They have not burned anything or torn down statues. They just want it known that we will be silent no more.,,2021-01-06T20:21:29+0000,,1176.0
"When democrats burn down buildings, its mostly peaceful and when we hold a protest it’s soooooo bad. We are not burning down innocent peoples buildings we are storming the swamp. Demanding justice and freedom as our freedoms and rights are stripped away. 1776!",,2021-01-06T20:15:21+0000,,1718.0
"Reduce Congress power.  Term limits.  They are the very root of America's problems.  Sweetheart deals; insider trading; you name it and corruption is involved, they've done it.  ",,2021-01-06T20:23:14+0000,,1237.0
When the people who are voted in to govern no longer listen to the people that put them there the people will always rise up to let our voice be heard. Keep it peacefull and stay safe. I hope they are listening now. Were tired of it.,,2021-01-06T20:24:27+0000,,1130.0
POTUS IS BLOCKED FROM POSTING ON TWITTER AND NOW FACEBOOK.. ,,2021-01-07T03:33:35+0000,,870.0
"Best president ever. God bless you and keep you safe.  They can’t stand you because you can’t be bought. It’s our house that is being corrupted. We the people elect our officials, and this is happening because of the fraud that happened during the last election. Because Our elected officials are the ones involved in the fraud. And because other Elected officials who know about the fraud will not be heard",,2021-01-06T20:18:13+0000,,1678.0
Mr. President I just watched your speech and I was in awe of all are true Patriots that are out there!  But no one should be charging the capital and especially entering into the senate floor!!  I do not believe any true American Patriots would do this!  I don't trust that these are Patriots and or even real Trump supporters who's to say Antifa can't put on our gear and do this to make us look in a bad light!!!  I am praying for the truth will prevail! I am praying for all American Patriots to be peaceful!!,,2021-01-06T20:23:58+0000,,1057.0
This fight is not about Trump anymore this fight is about America as we know it in our freedoms it is no longer about Trump,,2021-01-06T20:16:37+0000,,1112.0
"You Politicians allowed Anitfa and BLM to destroy and harm good people in many US cities; and now that the good people want to fight back you want to say no stop it, play fair.   Such hypocrisy",,2021-01-06T20:36:31+0000,,1467.0
 There is no violence or vandalism here. The people are making their voices heard because their representatives have failed to do it for them!! ,,2021-01-06T20:17:16+0000,,987.0
"Our President has always been about PEACE and Law and Order, this is a setup for the patriots.  God Bless You, Mr. President.",,2021-01-07T00:21:33+0000,,588.0
"This is completely and totally your fault and if there is any justice you will personally be held legally, ethically and morally  responsible  for any damage, violence, death, destruction and laws broken in the American Capitol today.",,2021-01-06T20:24:52+0000,,898.0
The American people are sick of the corruption in Washington and they have a right to voice that it’s long overdue ,,2021-01-06T20:16:41+0000,,960.0
"Praying for you, Mr President! I’m so thankful for your leadership and courage! You have done a ridiculously amazing amount of work for our country.❤️ I pray that you won’t be overwhelmed by discouragement as the dark side seems to be victorious. They are NOT and never will be. God laughs in the heavens at those who oppose Him. I believe God is not done with you and I pray that you will hold the course and cling to His sovereign rule and hatred for evil.🙏🏼 There are millions of us who stand with you and pray for His will to be done on earth as it is in heaven!💪🏽 God is with you!🙏🏼",,2021-01-06T23:10:42+0000,,507.0
"Those are not Trump supporters.   Those are agitators.  Thugs.   They are trying to make it look as if it’s Trump supporters.  The thugs that broke into the Capital have an ulterior motive.  They’re not protesting the election.  They’re trying to make the patriotic, peaceful gathering into something dark. They should all be arrested.",,2021-01-06T20:22:23+0000,,1117.0
This is what happens when you Steal an election & then deny 74 million Americans the right to prove thousands of examples of ELECTION FRAUD ,,2021-01-06T20:48:18+0000,,771.0
Keep fighting for us Mr President!!! Our children’s futures depend on the saving of our precious country!!!,,2021-01-06T20:18:35+0000,,742.0
Didn't the left set this standard with the riots and burning down of cities?  I don't see the problem here.  Is anything on fire?  ,,2021-01-06T20:41:35+0000,,980.0
You will go down in history as the worst president ever.,,2021-01-06T21:05:41+0000,,904.0
"It’s alright to terrorize our cities, Portland, Seattle, NYC, Minneapolis, etc.. The democrats ALLOWED it to happen in these cities. Now, put the shoe on the other foot and we have to call in the National Guard?? We HAVE to use force?? DC hasn’t seen ALL the people that wish we could be there, but don’t ever think that more can’t be there!! ",,2021-01-06T20:26:13+0000,,1094.0
May be wrong but I’m loving it. Pelosi thought it was ridiculous When President Trump wanted the national guard called in but now she wants them. They want President Trump to speak when they never cared before what he had to say,,2021-01-06T20:50:04+0000,,971.0
"I don’t believe that Trump supporters would act like this, it wouldn’t surprise me if these people were paid to pose as Trump supporters and to make it seem like we would act out like this. And of course the news people will make it out to seem worse than what it is...  🤬🤬🤬 Trump supporters do NOT act out this way!! I’m sorry!!  Can’t make me believe this! ",,2021-01-06T20:20:18+0000,,756.0
"Now they want to call on the national guard! They didn't want the national guard when churches were being burned, but because its Trump supporters they want the national guard!! Screw you Nancy Pelosi and bowser!!",,2021-01-06T20:17:32+0000,,2100.0
"Today was black day for US democracy and Mr. Trump insulted US people's mandates. So, Mr. Trump is one the most dictator in the world and shame on US democracy.",,2021-01-07T00:18:52+0000,,736.0
A little late Donald! What they have done is in NO WAY peaceful! This is all your fault and on January 20th Biden will still be sworn in as POTUS! #14daystilyourassisOUT,#14daystilyourassisout,2021-01-06T20:26:03+0000,,775.0
Where is the Law when the fraud happened more than once? Where is the law when evidence is brought up and ignored? So many legal emigrants migrated to this great country America we don’t want to go back because America is going downhill! The whole election needs to be RE done in person with an Id that’s the only way It can be fair and legit ,,2021-01-06T20:25:41+0000,,1647.0
It was you who brought the violent people there. Shame on you. You motivated them with your words. Shame on you. This is not a peaceful protest,,2021-01-06T20:15:38+0000,,522.0
You did this! This is your fault. Burning down our country is your legacy.,,2021-01-06T20:15:17+0000,,514.0
"Bud, you haven't  seen a bad president yet,but you are about to come jan 21",,2021-01-06T21:10:17+0000,,739.0
This country is divided because of your selfishness. What a sad day to be an American   Can’t wait for President Elect Biden to be inaugurated. He is definitely going to MAGA.,,2021-01-06T20:18:11+0000,,388.0
What law! The democrats don’t have a law!,,2021-01-06T20:22:30+0000,,826.0
Ask them to leave!!!!    It’s that simple this is disgusting and your doing!,,2021-01-06T20:15:18+0000,,521.0
"Listen to the voices of the real voters, they want to be heard....voter fraud must be addressed in order to calm everything!",,2021-01-06T20:32:51+0000,,1410.0
This has nothing to do with trump. We the people are tired of people trying to steal our freedom!!!! This isn’t the Republican Party this is the patriot party and this is the lion that you people have awoken!! ,,2021-01-06T20:18:47+0000,,708.0
Can we refer to it as CHAZ now???,,2021-01-06T20:14:57+0000,,561.0
"Mr President, I took an oath to protect the Constitution of the United States and the People of this great land. You are the voice and order of this movement, give the order Mr President and we will stand, lead your people, do NOT concede sir.",,2021-01-06T20:19:12+0000,,640.0
"Why is Fox News saying this is a disgrace? This is peaceful protesting! The left burned down our cities and looted them,  for no reason at all! We just want legal elections! We stand with you President Trump! Do what's right Mike Pence! Object to the certification!",,2021-01-06T20:30:14+0000,,599.0
The press as always is making this out to be more than what it is. I’m sitting here watching it on TV and I don’t see any violence going on. No I’m not there and I don’t know what all they have done. But the United States people are tired of being told what to do by the government. We are taking our government back Trump has nothing to do with this. Anybody can put a Trump shirt on and act like they were a Trump supporter.,,2021-01-06T20:17:47+0000,,731.0
You created this situation Mr. Trump. Will you take responsibility for it? You need to be charged and removed from office!,,2021-01-06T20:24:10+0000,,494.0
"You didn't cause or encourage this, ppl are just tired of evil winning. Gods still in charge!!",,2021-01-06T20:37:34+0000,,562.0
"Please Trump, stay in office! Make the democrats and the people realize that you won fair and square without the rigged election from the left side! That's why your people are storming in on your side so you and everyone can speak up! Don't let the democrats break you, you won that election. Stand up and show them that they have rigged the election.  ",,2021-01-06T20:43:45+0000,,422.0
"People stop believing the news media. Friends of mine who are in DC are saying that ANIFA is dressed as Trump supporters rushed Capital Hill and by doing so was hit with tear gas. This is not the supporters of Trump. Now the media is doing what it does best. Spreading lies and division! Wake up people!  Pray, Pray, Pray!!!! 🙏❤🇺🇸",,2021-01-07T00:58:18+0000,,436.0
"If Mike Pence thinks for one minute he will proceed in his political career with no repercussion for what he had done, he is sadly mistaken! The republican party has a long and powerful memory. I will not forget what he has done. If he ever runs for president or any other place of leader ship where I vote. He is certainly not getting my vote! I never thought my country would be reduced to the point that we can no longer trust our electoral process. Our country As we knew it is gone forever.",,2021-01-06T20:18:36+0000,,535.0
"The Constitution was broken when the Democrats cheated with mail in ballots and double, triple counting. Our election was stolen! No one would listen.",,2021-01-06T20:29:16+0000,,517.0
"Keep up the good work President Trump! We support you and thank you for all you’ve done for our country. They’re asking you to tell everyone to go home, I didn’t hear anyone say that before when all the violence was going on. I call bull. GOD BLESS THE USA!!",,2021-01-06T20:35:30+0000,,504.0
I believe that antifa is doing the this and under disguise of your supporters ... to ruin the maga movement .. take a careful look at the tattoos and other symbols that indicate this in some of the coverage,,2021-01-06T20:34:50+0000,,1015.0
We are peaceful!! It’s the hired BLM and Antifa that have came to create issues and have staged photos for the fake news !!,,2021-01-06T20:15:44+0000,,577.0
"The systems failed us, the American people have taken it into their own hands.",,2021-01-06T20:19:18+0000,,649.0
Did anyone wake up Joe yet?,,2021-01-06T20:28:03+0000,,253.0
Just a thought; Where were all the police and politicians back in the summer when cities were being burned and people killed?,,2021-01-06T21:53:16+0000,,583.0
"Don't be fooled, Antifa stated days ago they would infiltrate the crowd, wear the hats, hold the flags in order to ""blend in"".  This lawlessness is not the wish of We the People.   Look closely, mostly young men, dressed entirely in black, breaking windows with boards that were conveniently staged in Capitol area yesterday.",,2021-01-06T20:39:38+0000,,599.0
"I believe it shows just how ANGRY We The People are. But, there's always a few bad apples to ruin what we are trying to do. And.....this IS NOT caused by our President!!",,2021-01-06T20:48:38+0000,,481.0
It's about time we stand up and make our voices heard.  We have remained quiet for too long.  This is a great day!,,2021-01-06T20:43:56+0000,,485.0
"We do respect them. But we are done. You need to wake up and see that, the PEOPLE have had enough politics, we want justice. It’s time for change and time for the government to work for the people again. ",,2021-01-06T20:21:56+0000,,539.0
It’s it something when the right takes a stand how the media goes on and on about how horrible and non American this is and call the National Guard this has to stop. But when the left holds a protest they are encouraged to burn down buildings and break windows and destroy city after city. In fact they even had bricks delivered to them in the streets. Yet when the right stands up finally what horrible people 😂. May God handle the swamp and expose them all. ,,2021-01-06T20:26:56+0000,,494.0
These people storming into capital must be part on Biden / Harris team.  Real Trump supporters act and are peaceful people,,2021-01-06T20:16:45+0000,,408.0
President Trump I’m going to tell it like it really is! They have ABUSED you from day one! People are sick and tired of it !! They cannot stand the fact that you tell it like it is when they’ve ALWAYS thought they were the only people entitled to know!!! I for one am very proud of you!,,2021-01-06T23:12:09+0000,,329.0
The world is horrified and are adversaries are happy. Trump will go down as the worst president in history and those that propped him up should face consequences. This is not democracy but authoritarianism.,,2021-01-06T21:47:47+0000,,444.0
If the Supreme Court would have done their job and viewed the complaints none of this would have happened,,2021-01-06T20:43:14+0000,,452.0
This is what happens when people are pushed to their limit.,,2021-01-06T20:16:49+0000,,521.0
"An entire city In Portland was terrorized for 90 days and the media called it peaceful protests. Today, I suspect they will be up in arms. Let's pray there is no violence. Please Lord.",,2021-01-06T20:22:47+0000,,737.0
You're still President and I know you will be for the next 4 years.  Keep up the good fight!  We are with you.,,2021-01-07T07:16:47+0000,,198.0
"You could stop this if you wanted. You caused this. You will be tried for sedition and imprisoned for the next 20 years, and fined for everything you own. Your name will live in infamy. You are the greatest villain ever to disgrace our great nation. ",,2021-01-06T20:26:01+0000,,393.0
Joe Biden will go down in History as the next Civil War president on his very first day on the job. He STOLE the election & the Whole World knows it!,,2021-01-06T21:33:31+0000,,384.0
It’s not our guys! It’s the left dressed up as ours!! ,,2021-01-06T20:15:40+0000,,387.0
"Republicans have been quiet far too long, quiet gets you no where. It’s time we fight for what we want, Liberty and freedom! 🇺🇸 ",,2021-01-06T20:57:28+0000,,450.0
You have brought this with your crazy nonsense and constant pot-stirring. You've ripped this country apart to assuage your ego.,,2021-01-06T20:16:00+0000,,424.0
Sorry Sir we can no longer remain lawful.,,2021-01-06T20:15:23+0000,,982.0
"Mr. President the Demos have been on you hot and heavy ever since the first day in office. May God bless you for your tenaciousness, patience and patriotism🇺🇸🇺🇸🇺🇸",,2021-01-06T20:26:20+0000,,660.0
I believe the ones who breached the Chamber are not Trump supporters. Doing this to make Trump look responsible! Dems involved.,,2021-01-06T20:21:06+0000,,480.0
I’ve been a supporter for you for the entire time... but as sorry as I am you lost this time... this storming Capitol building and all that’s going on is not what a responsible decent law abiding president does! Putting VP down because he is following the constitution is also wrong and childish. ,,2021-01-06T20:27:00+0000,,419.0
All those people protesting legally are shining examples peaceful protesting. I support them 100%. ,,2021-01-06T20:37:21+0000,,391.0
"What you are seeing is a boiling pot of 75, million people who for the last 4-yrs have gotten nothing but a deaf ear!  It is not a Capitol Police, or Political failure as Bret Baier just said on Fox News!! It is a ""FAKE NEWS"" media failure to present the TRUTH!",,2021-01-06T20:17:23+0000,,411.0
You are the worst president in history,,2021-01-06T20:51:36+0000,,392.0
"No. Not remain peaceful.  LEAVE.  Mr. President, I've supported you up to this point. Make an announcement that you CONDEMN the actions of the terrorists occupying the Capitol building. Tell them you do NOT support this action. Your silence is support for this. Would you rather tear this country apart rather than leave the WH with some sort of grace and dignity??? PUT A STOP TO THIS. NOW.",,2021-01-06T20:15:40+0000,,988.0
it's okay when I tifa and black lives matter destroy people's property their businesses but when we want to stick up for our rights it's a whole different ballgame ain't it I'm proud of these American people standing up for our rights and our constitution and our president the election was stolen,,2021-01-06T20:18:16+0000,,487.0
He lit the fire and acts like it shouldn’t be burning. ,,2021-01-06T20:40:50+0000,,399.0
"You have done nothing but encourage this violent, reckless, and childish behavior. You organized the rally. You are the most influential man in the world right now. This is a manifestation of your poor stewardship ",,2021-01-06T20:18:37+0000,,331.0
We’re beyond that: peace isn’t an option for a lot of people. They just stole the election from you and now we have to deal with being ruled under liberals. ,,2021-01-06T20:17:54+0000,,368.0
"We are sick of the liberals committing crimes and never going to jail , so here we go!",,2021-01-06T20:20:18+0000,,301.0
They have begun to shutdown social media... they don’t want the truth to be shown! ,,2021-01-06T20:51:34+0000,,292.0
"Shame on you, Donald, for encouraging this, knowing full well what it would lead to. There is cost to what is happening in our capitol. Our democracy is greater than you and your personal agenda.",,2021-01-06T20:21:14+0000,,334.0
Donald Trump is the greatest President in my life time.I am 63 yrs old.He did Everything he said he would and more.Lets see what Biden accomplish in his 4 yrs.Or we already know he not do anything just like he hasn't in 47 yrs.But destroy our great country.,,2021-01-07T01:11:37+0000,,209.0
"This is bigger than you now, Trump!! Our crooked Government is out of control!! They've sold this country out!! It's time to take it back!!",,2021-01-06T20:17:34+0000,,350.0
"Why is it Biden talks on TV when the Republicans get upset (not saying it’s right) but creepy Joe didn’t say anything when BLM or Antifa burned, rioted and stole in cities all over the USA.  You can’t have it both ways Joe.  ",,2021-01-06T21:12:55+0000,,824.0
Did people really think the Patriots were going to go out quietly? 🇺🇸💙❤ just expressing their first amendment right thank you to everyone who's standing up! ,,2021-01-06T20:17:06+0000,,337.0
VP PENCE SHOULD HAVE SUPPORTED YOU AND ALL OF US - THAT IS WHY THIS IS OCCURING!  I'M FROM GA AND WE ARE A RED STATE - THIS IS ALL B.S. LIKE YOU SAID!,,2021-01-06T20:18:28+0000,,246.0
Too late. You should be arrested immediately! Most horrible President ever and you need to go to prison for treason. ,,2021-01-06T20:21:48+0000,,292.0
You are NOT a leader,,2021-01-06T20:17:03+0000,,330.0
It’s time to stop sitting around doing nothing! ,,2021-01-06T20:23:06+0000,,329.0
This has been coming for a long time. America is sick and tired of all the bullshit! Fight for our freedom patriots!,,2021-01-06T20:15:42+0000,,338.0
"How sad in reading these comments that people actually support what this pathetic, desperate President has done. What is wrong with all of you?? Hoping the 25th amendment is enforced and this unstable man is removed from office!!",,2021-01-06T23:42:13+0000,,294.0
"I'm not for violence but we sat for too long and watched the commies destroy our cities and private property and businesses. At least right now the only thing that's getting broken into, not destroyed burned or looted, is government property, AKA our property. Our property!!! The taxpayers property. I don't see anybody burning down a private business or a private property. ",,2021-01-06T20:19:59+0000,,512.0
"The news is so funny😂😂😂 When BLM was torching cities, nothing. So fake.",,2021-01-06T20:21:47+0000,,573.0
The people have woke. They are sick of status quo in Washington. Enough is enough. ,,2021-01-06T20:18:35+0000,,342.0
We love you Mr President you have done a great job,,2021-01-08T11:58:14+0000,,174.0
The President of the United States orchestrated a domestic terror attack on the Capitol during his lame period all because he can't handle losing. ,,2021-01-06T20:14:58+0000,,217.0
Obviously you are not the party of law and order! You have brought this upon our country and it is disgraceful! You have built this up for so long. You need to concede and allow the election process to Proceed. You need to say you lost and you need to stop  with the lies! We need to protect our democracy! You have destroyed what has been peaceful in All other transitions. Your mob is breaking capital windows now and destroying federal property! Stop this now!,,2021-01-06T20:29:20+0000,,286.0
I believe our Trump supporters are being peaceful. It's the imposters disguising themselves as Trump supporters who are causing all of the chaos.,,2021-01-06T21:04:28+0000,,239.0
Admit that you have been lying this entire time and that there is no fraud. Admit you lost the election!!!! You caused this! You’ve made a mockery of this country. I’m ashamed to be an American! ,,2021-01-06T20:29:21+0000,,270.0
No he isnt. This is the result of 74 million people whos votes were disregarded. It's saying enough is enough.,,2021-01-06T20:45:43+0000,,302.0
I totally support our President. It’s the crazy people wanting it to look like Trump supporters.. It’s not Trump supporters causing this bull sh..,,2021-01-06T21:49:09+0000,,262.0
I love how representative McCarthy from Florida talked about how he’s never seen this ever in US  and how awful well that’s funny none of them cared what  BLM or AnTifa was burning down peoples businesses and killing them !  People are done with our corrupt government,,2021-01-06T20:26:11+0000,,283.0
No it’s time for the people to unit stand together and stop this for us we the people not for trump or anyone else stand with us or stand against us this is are country are home we will not allow are home to be destroyed by politicians ,,2021-01-06T20:24:07+0000,,304.0
Too bad the media is not reporting that you feel this way. They are blaming you. For what? Standing up for our rights and the law? ,,2021-01-06T20:23:42+0000,,231.0
"Why are you letting this tragedy happen? We are a laughing point for other countries. This is dangerous. YOU have defiled democracy. You need to go away, far away.",,2021-01-06T20:40:11+0000,,294.0
"Mr. President, I voted for you twice.  This is shameful.  You must concede, behave like a gentleman, and welcome the new president to the White House as you were welcomed.  You are humiliating your family.  This violence is unAmerican, and you have blame in it.  Stop tweeting about the election and move on with your life.",,2021-01-06T23:50:22+0000,,265.0
Too late. We’ve been quiet long enough. That didn’t work. We want our country back. This is the only way,,2021-01-06T20:18:54+0000,,243.0
To my love President Donald J Trump is just a peaceful protest that’s all it is Sir,,2021-01-06T21:49:17+0000,,214.0
destructive protesters do not support our Patriots... they are plants...  more tricks from the LEFT,,2021-01-06T20:18:24+0000,,299.0
"I don’t agree with violence but also,  you can only push people so far before they break.  ",,2021-01-06T21:00:22+0000,,236.0
We the people are demanding a complete audit of the 5 states in question. It's very simple to do and must be done in order to bring trust back to our electoral system. Only then will we be able to seat the next POTUS. Until then there will be no justified election.,,2021-01-06T20:30:45+0000,,279.0
"If the Government won't take our Country back, the people will !",,2021-01-06T20:24:28+0000,,348.0
This mess at the capitol is not President Trumps fault. These people are not all Trump supporters. The same unlawful people that did all the riots are also there. Funny how know one wanted to stop all the other rioters. But when it comes to Trump and the Republican Party it’s yet again another story. Maybe the Democrats who are evil cheaters should see what they have caused.,,2021-01-06T21:27:49+0000,,221.0
I do believe that the Democratic Party is held accountable for their crimes then there may be peace. Until then. All is fair in love and war,,2021-01-06T21:47:47+0000,,281.0
"I pray for God to vindicate you Mr President. It’s apparent just how deep the swamp is. You didn’t just expose corruption, it’s pure evil. I’m just amazed how many are blind to it.",,2021-01-07T04:21:48+0000,,198.0
